"id","create_uid","create_date","write_date","write_uid","ean13","color","image","price_extra","default_code","name_template","active","variants","image_medium","image_small","product_tmpl_id","price_margin","track_outgoing","track_incoming","valuation","track_production","expense_pdt","income_pdt","available_in_pos","pos_categ_id","to_weight"
"14440","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8174A/O","t","\N","\N","\N","14440","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14441","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8177/O","t","\N","\N","\N","14441","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14442","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8177F","t","\N","\N","\N","14442","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14443","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8178","t","\N","\N","\N","14443","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14444","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8179","t","\N","\N","\N","14444","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14445","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8190","t","\N","\N","\N","14445","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14446","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8198","t","\N","\N","\N","14446","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14447","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8199","t","\N","\N","\N","14447","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14448","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8214B","t","\N","\N","\N","14448","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14449","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8215","t","\N","\N","\N","14449","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14450","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8305","t","\N","\N","\N","14450","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14451","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8305Q/O","t","\N","\N","\N","14451","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14452","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8350","t","\N","\N","\N","14452","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14453","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8350Q","t","\N","\N","\N","14453","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14454","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8351","t","\N","\N","\N","14454","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14455","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8351/O","t","\N","\N","\N","14455","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14456","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8356","t","\N","\N","\N","14456","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14457","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8356/O","t","\N","\N","\N","14457","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14458","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8357jap","t","\N","\N","\N","14458","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14459","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8359","t","\N","\N","\N","14459","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14460","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8359J/O","t","\N","\N","\N","14460","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14461","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8361/O","t","\N","\N","\N","14461","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14462","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8362 3Y","t","\N","\N","\N","14462","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14463","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8363","t","\N","\N","\N","14463","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14464","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8363C","t","\N","\N","\N","14464","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14465","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8368A","t","\N","\N","\N","14465","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14466","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8369 IC","t","\N","\N","\N","14466","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14467","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8369/O","t","\N","\N","\N","14467","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14468","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8377Agen","t","\N","\N","\N","14468","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14469","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8424","t","\N","\N","\N","14469","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14470","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8444","t","\N","\N","\N","14470","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14471","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8560Q/O","t","\N","\N","\N","14471","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14472","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8561/O","t","\N","\N","\N","14472","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14473","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8561Q/O","t","\N","\N","\N","14473","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14474","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8562Q","t","\N","\N","\N","14474","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14475","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8563","t","\N","\N","\N","14475","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14476","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8563Q","t","\N","\N","\N","14476","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14477","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8567Qjap","t","\N","\N","\N","14477","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14478","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8568","t","\N","\N","\N","14478","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14479","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8568Q/O","t","\N","\N","\N","14479","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14480","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8569Q","t","\N","\N","\N","14480","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14481","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8571","t","\N","\N","\N","14481","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14482","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8571J/O","t","\N","\N","\N","14482","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14483","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8580J","t","\N","\N","\N","14483","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14484","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8588BJ","t","\N","\N","\N","14484","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14485","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8588BJ/Cu/O","t","\N","\N","\N","14485","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14486","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8588BJ/O","t","\N","\N","\N","14486","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14487","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8720","t","\N","\N","\N","14487","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14488","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8841","t","\N","\N","\N","14488","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14489","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8841/O","t","\N","\N","\N","14489","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14490","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8842/O","t","\N","\N","\N","14490","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14491","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8846","t","\N","\N","\N","14491","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14492","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8920BJ/O","t","\N","\N","\N","14492","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14493","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8920BTH","t","\N","\N","\N","14493","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14494","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8922BTH","t","\N","\N","\N","14494","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14495","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8943SF/O","t","\N","\N","\N","14495","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14496","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8944J","t","\N","\N","\N","14496","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14497","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8947J/O","t","\N","\N","\N","14497","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14498","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8950","t","\N","\N","\N","14498","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14499","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8950J/O","t","\N","\N","\N","14499","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14500","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA8953J/N1112","t","\N","\N","\N","14500","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14501","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9102C","t","\N","\N","\N","14501","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14502","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9103","t","\N","\N","\N","14502","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14503","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9210","t","\N","\N","\N","14503","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14504","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9302/O","t","\N","\N","\N","14504","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14505","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9302H","t","\N","\N","\N","14505","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14506","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9302H/O","t","\N","\N","\N","14506","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14507","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9309/O","t","\N","\N","\N","14507","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14508","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9370PS/N2/AI","t","\N","\N","\N","14508","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14509","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9373PS/N2/AI","t","\N","\N","\N","14509","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14510","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N1/AI105","t","\N","\N","\N","14510","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14511","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/A1jap","t","\N","\N","\N","14511","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14512","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI075","t","\N","\N","\N","14512","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14513","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI087","t","\N","\N","\N","14513","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14514","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI120","t","\N","\N","\N","14514","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14515","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI137","t","\N","\N","\N","14515","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14516","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI144","t","\N","\N","\N","14516","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14517","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI145","t","\N","\N","\N","14517","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14518","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AI190","t","\N","\N","\N","14518","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14519","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N2/AICB9","t","\N","\N","\N","14519","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14520","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N3/A","t","\N","\N","\N","14520","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14521","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N3/A/162","t","\N","\N","\N","14521","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14522","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PS/N3/AI0JC","t","\N","\N","\N","14522","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14523","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PSN3A1994","t","\N","\N","\N","14523","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14524","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9377PSN3AI1905","t","\N","\N","\N","14524","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14525","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9378PS/N2/AI","t","\N","\N","\N","14525","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14526","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9380PS/N2/31","t","\N","\N","\N","14526","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14527","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9380PS/N2/3I","t","\N","\N","\N","14527","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14528","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9387PS/N2/3/070","t","\N","\N","\N","14528","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14529","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9387PSN331532","t","\N","\N","\N","14529","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14530","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA93937/PS/N2","t","\N","\N","\N","14530","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14531","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9535","t","\N","\N","\N","14531","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14532","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9570H/N1/A1102C","t","\N","\N","\N","14532","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14533","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9580SDM","t","\N","\N","\N","14533","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14534","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9587H/N1/31136","t","\N","\N","\N","14534","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14535","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9592PS/N1/31/08","t","\N","\N","\N","14535","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14536","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9592PS/N1/3I08","t","\N","\N","\N","14536","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14537","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","TDA9850","t","\N","\N","\N","14537","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
