"pvp","referencia","controlstock","imagen","codfamilia","codsubcuentairpfcom","descripcion","codsubcuentacom","tipocodbarras","costemedio","stockmax","stockfis","codimpuesto","codbarras","observaciones","stockmin","idsubcuentacom","idsubcuentairpfcom"
"0.0000000","IN4370","1",,"DIO",,"DIODO 2.4VX1/2W",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN4532","1",,"DIO",,"DIODO ZENER",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN4935","1",,"DIO",,"DIODO DE 600V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN4937","1",,"DIO",,"DIODO DE 600V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN5223B","1",,"DIO",,"DIODO ZENER",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN5225","1",,"DIO",,"DIODO ZENER 3VX1/2W",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN5404","1",,"DIO",,"DIODO DE 3AMP 1000V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN5408","1",,"DIO",,"DIODO DE 3MP 1000V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN5822","1",,"DIO",,"DIODO DE 40V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN60P","1",,"DIO",,"DIODO ECG109",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IN967B","1",,"DIO",,"DIODO ZENER",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IND NEON/12V","1",,"FOC",,"INDICADOR DE NEON 12V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IND NEON/6V","1",,"FOC",,"INDICADOR DE NEON DE 6V",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","INDI","1",,"FOC",,"INDICADOR",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","INTANAU6MR","1",,"LEC",,"Lector de memorias interna IMICRO",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","INTELLINET","1",,"CAB",,"CABLE DE RED CERTIFICADO 3MTS CAT. 5  ANARANJADO",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"CABLE DE RED CAT-5 CERTIFICDO 3MTS  ANARANJADO","1.0000000",NULL,NULL
"0.0000000","INTELLINET CABLE","1",,"CAB",,"CABLE DE RED ROJO 50FT 15MTS.",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IOS2105","1",,"REM",,"Control remoto GoldStar",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP","1",,"REG",,"REGLETA 6SALIDAS, APC",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-100","1",,"IMP",,"Impresora CANON PIXMA FCFH59622/FCFH59619",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1000","1",,"IMP",,"Impresor CANON IP1000 14ppmb 11ppmc",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1200","1",,"IMP",,"Impresor Tinta CANON PIXMA IP1200",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1300","1",,"IMP",,"Impresor canon pixma IP1300",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1500","1",,"IMP",,"Impresor tinta Canon-PIMAX IP1500",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1600","1",,"IMP",,"IMPRESOR CANON IP-1600",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1700","1",,"IMP",,"Impresor de tinta USB",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-1800","1",,"IMP",,"Impresor PIXMA",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
