"id","parent_left","parent_right","create_uid","create_date","write_date","write_uid","name","sequence","parent_id","type"
"50","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","NAVI","\N","1","normal"
"51","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","RACK","\N","1","normal"
"52","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DVD-","\N","1","normal"
"53","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","EQU","\N","1","normal"
"54","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","TRT","\N","1","normal"
"55","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ACC","\N","1","normal"
"56","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BASE","\N","1","normal"
"57","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PAS","\N","1","normal"
"58","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","RET","\N","1","normal"
"59","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SENS","\N","1","normal"
"60","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","VAR","\N","1","normal"
"61","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DDSA","\N","1","normal"
"62","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","HAR","\N","1","normal"
"63","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","RCOM","\N","1","normal"
"64","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","FIL","\N","1","normal"
"65","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","KITP","\N","1","normal"
"66","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","VIA","\N","1","normal"
"67","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CUER","\N","1","normal"
"68","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","LENL","\N","1","normal"
"69","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ESTU","\N","1","normal"
"70","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SENC","\N","1","normal"
"71","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","FFU","\N","1","normal"
"72","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SNA","\N","1","normal"
"73","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","TIN","\N","1","normal"
"74","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BASS","\N","1","normal"
"75","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","KIT","\N","1","normal"
"76","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CING","\N","1","normal"
"77","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BOL","\N","1","normal"
"78","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CINT","\N","1","normal"
"79","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ZAR","\N","1","normal"
"80","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MAL","\N","1","normal"
"81","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SAP","\N","1","normal"
"82","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ACAR","\N","1","normal"
"83","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","FLY","\N","1","normal"
"84","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CAÃ‘","\N","1","normal"
"85","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","FUS","\N","1","normal"
"86","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","GUE","\N","1","normal"
"87","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MDDR","\N","1","normal"
"88","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","GUI","\N","1","normal"
"89","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DES","\N","1","normal"
